Main,Middle,Sub,Main,Middle,Sub,Central,Unfiltered,Description,DatapointType,Security
,,L_EG_R.00.04_01_Treppenlicht_mit_Zeit_1By,1,0,141,,,HAR|HWR 141,,
,,L_EG_R.00.04_01_Vorwarnen_1B,1,0,142,,,HAR|HWR 142,,
,,L_EG_R.00.04_01_Betriebsstunden_Reset_1B,1,0,143,,,HAR|HWR 143,,
,,L_EG_R.00.04_01_Servicemeldung_Reset_1B,1,0,144,,,HAR|HWR 144,,
,,L_EG_R.00.04_01_Zwangsführung_2B,1,0,145,,,HAR|HWR 145,,
,,L_EG_R.00.04_01_Priorität_1B,1,0,146,,,HAR|HWR 146,,
,,L_EG_R.00.04_01_Szene_1By,1,0,147,,,HAR|HWR 147,,
,,L_EG_R.00.04_01_Status_1B,1,0,148,,,HAR|HWR 148,,
,,L_EG_R.00.04_01_Status_invertiert_1B,1,0,149,,,HAR|HWR 149,,
,,L_EG_R.00.04_01_Schwellwertschalter_1By_2By,1,0,150,,,HAR|HWR 150,,
,,L_EG_R.00.04_01_Logik_1_1B,1,0,151,,,HAR|HWR 151,,
,,L_EG_R.00.04_01_Logik_2_1B,1,0,152,,,HAR|HWR 152,,
,Rollladen,,1,1
,,R_EG_R.00.01_01_Automatikposition_1_1B,1,1,1,,,Wohnen|Essen|Kochen 1,,
,,R_EG_R.00.01_01_Automatikposition_2_1B,1,1,2,,,Wohnen|Essen|Kochen 2,,
,,R_EG_R.00.01_01_Automatikposition_3_1B,1,1,3,,,Wohnen|Essen|Kochen 3,,
,,R_EG_R.00.01_01_Automatikposition_4_1B,1,1,4,,,Wohnen|Essen|Kochen 4,,
,,R_EG_R.00.01_01_Automatikposition_1_1B,1,1,5,,,Wohnen|Essen|Kochen 5,,
,,R_EG_R.00.01_01_Automatikposition_2_1B,1,1,6,,,Wohnen|Essen|Kochen 6,,
,,R_EG_R.00.01_01_Automatikposition_3_1B,1,1,7,,,Wohnen|Essen|Kochen 7,,
,,R_EG_R.00.01_01_Automatikposition_4_1B,1,1,8,,,Wohnen|Essen|Kochen 8,,
,,R_EG_R.00.01_01_Rollladen_auf_ab_1B,1,1,9,,,Wohnen|Essen|Kochen 9,,
,,R_EG_R.00.01_01_Kurzzeitbetrieb_Stop_1B,1,1,10,,,Wohnen|Essen|Kochen 10,,
,,R_EG_R.00.01_01_Szene_1By,1,1,11,,,Wohnen|Essen|Kochen 11,,
,,R_EG_R.00.01_01_Status_akt_Richtung_1B,1,1,12,,,Wohnen|Essen|Kochen 12,,
,,R_EG_R.00.01_01_Verfahrstatus_auf_1B,1,1,13,,,Wohnen|Essen|Kochen 13,,
,,R_EG_R.00.01_01_Verfahrstatus_ab_1B,1,1,14,,,Wohnen|Essen|Kochen 14,,
,,R_EG_R.00.01_01_Absolute_Position_1By,1,1,15,,,Wohnen|Essen|Kochen 15,,
,,R_EG_R.00.01_01_Status_akt_Position_1By,1,1,16,,,Wohnen|Essen|Kochen 16,,
,,R_EG_R.00.01_01_Status_Sperre_Alarme_1B,1,1,17,,,Wohnen|Essen|Kochen 17,,
,,R_EG_R.00.01_01_Referenzfahrt_starten_1B,1,1,18,,,Wohnen|Essen|Kochen 18,,
,,R_EG_R.00.01_01_Position_anfahren_1B,1,1,19,,,Wohnen|Essen|Kochen 19,,
,,R_EG_R.00.01_01_Status_obere_Position_1B,1,1,20,,,Wohnen|Essen|Kochen 20,,
,,R_EG_R.00.01_01_Status_untere_Position_1B,1,1,21,,,Wohnen|Essen|Kochen 21,,
,,R_EG_R.00.01_01_Zentrales_Objekt_sperren_1B,1,1,22,,,Wohnen|Essen|Kochen 22,,
,,R_EG_R.00.01_01_Sperren_absolute_Position_1B,1,1,23,,,Wohnen|Essen|Kochen 23,,
,,R_EG_R.00.01_01_Funktionen_sperren_1B,1,1,24,,,Wohnen|Essen|Kochen 24,,
,,R_EG_R.00.01_01_Windalarm_1B,1,1,25,,,Wohnen|Essen|Kochen 25,,
,,R_EG_R.00.01_01_Regenalarm_1B,1,1,26,,,Wohnen|Essen|Kochen 26,,
,,R_EG_R.00.01_01_Frostalarm_1B,1,1,27,,,Wohnen|Essen|Kochen 27,,
,,R_EG_R.00.01_01_Sperren_1B,1,1,28,,,Wohnen|Essen|Kochen 28,,
,,R_EG_R.00.01_01_Fensterkontakt_1_1B,1,1,29,,,Wohnen|Essen|Kochen 29,,
,,R_EG_R.00.01_01_Fensterkontakt_2_1B,1,1,30,,,Wohnen|Essen|Kochen 30,,
,,R_EG_R.00.01_01_Raumtemperatur_2By,1,1,31,,,Wohnen|Essen|Kochen 31,,
,,R_EG_R.00.01_01_Beschattung_sperren_aktivieren_1B,1,1,32,,,Wohnen|Essen|Kochen 32,,
,,R_EG_R.00.01_01_Status_Beschattung_bereit_1B,1,1,33,,,Wohnen|Essen|Kochen 33,,
,,R_EG_R.00.01_01_Status_Beschattung_Zustand_1B,1,1,34,,,Wohnen|Essen|Kochen 34,,
,,R_EG_R.00.01_01_Diagnose_1B,1,1,35,,,Wohnen|Essen|Kochen 35,,
,,R_EG_R.00.01_02_Automatikposition_1_1B,1,1,36,,,Wohnen|Essen|Kochen 36,,
,,R_EG_R.00.01_02_Automatikposition_2_1B,1,1,37,,,Wohnen|Essen|Kochen 37,,
,,R_EG_R.00.01_02_Automatikposition_3_1B,1,1,38,,,Wohnen|Essen|Kochen 38,,
,,R_EG_R.00.01_02_Automatikposition_4_1B,1,1,39,,,Wohnen|Essen|Kochen 39,,
,,R_EG_R.00.01_02_Automatikposition_1_1B,1,1,40,,,Wohnen|Essen|Kochen 40,,
,,R_EG_R.00.01_02_Automatikposition_2_1B,1,1,41,,,Wohnen|Essen|Kochen 41,,
,,R_EG_R.00.01_02_Automatikposition_3_1B,1,1,42,,,Wohnen|Essen|Kochen 42,,
,,R_EG_R.00.01_02_Automatikposition_4_1B,1,1,43,,,Wohnen|Essen|Kochen 43,,
,,R_EG_R.00.01_02_Rollladen_auf_ab_1B,1,1,44,,,Wohnen|Essen|Kochen 44,,
,,R_EG_R.00.01_02_Kurzzeitbetrieb_Stop_1B,1,1,45,,,Wohnen|Essen|Kochen 45,,
,,R_EG_R.00.01_02_Szene_1By,1,1,46,,,Wohnen|Essen|Kochen 46,,
,,R_EG_R.00.01_02_Status_akt_Richtung_1B,1,1,47,,,Wohnen|Essen|Kochen 47,,
,,R_EG_R.00.01_02_Verfahrstatus_auf_1B,1,1,48,,,Wohnen|Essen|Kochen 48,,
,,R_EG_R.00.01_02_Verfahrstatus_ab_1B,1,1,49,,,Wohnen|Essen|Kochen 49,,
,,R_EG_R.00.01_02_Absolute_Position_1By,1,1,50,,,Wohnen|Essen|Kochen 50,,
,,R_EG_R.00.01_02_Status_akt_Position_1By,1,1,51,,,Wohnen|Essen|Kochen 51,,
,,R_EG_R.00.01_02_Status_Sperre_Alarme_1B,1,1,52,,,Wohnen|Essen|Kochen 52,,
,,R_EG_R.00.01_02_Referenzfahrt_starten_1B,1,1,53,,,Wohnen|Essen|Kochen 53,,
,,R_EG_R.00.01_02_Position_anfahren_1B,1,1,54,,,Wohnen|Essen|Kochen 54,,
,,R_EG_R.00.01_02_Status_obere_Position_1B,1,1,55,,,Wohnen|Essen|Kochen 55,,
,,R_EG_R.00.01_02_Status_untere_Position_1B,1,1,56,,,Wohnen|Essen|Kochen 56,,
,,R_EG_R.00.01_02_Zentrales_Objekt_sperren_1B,1,1,57,,,Wohnen|Essen|Kochen 57,,
,,R_EG_R.00.01_02_Sperren_absolute_Position_1B,1,1,58,,,Wohnen|Essen|Kochen 58,,
,,R_EG_R.00.01_02_Funktionen_sperren_1B,1,1,59,,,Wohnen|Essen|Kochen 59,,
,,R_EG_R.00.01_02_Windalarm_1B,1,1,60,,,Wohnen|Essen|Kochen 60,,
,,R_EG_R.00.01_02_Regenalarm_1B,1,1,61,,,Wohnen|Essen|Kochen 61,,
,,R_EG_R.00.01_02_Frostalarm_1B,1,1,62,,,Wohnen|Essen|Kochen 62,,
,,R_EG_R.00.01_02_Sperren_1B,1,1,63,,,Wohnen|Essen|Kochen 63,,
,,R_EG_R.00.01_02_Fensterkontakt_1_1B,1,1,64,,,Wohnen|Essen|Kochen 64,,
,,R_EG_R.00.01_02_Fensterkontakt_2_1B,1,1,65,,,Wohnen|Essen|Kochen 65,,
,,R_EG_R.00.01_02_Raumtemperatur_2By,1,1,66,,,Wohnen|Essen|Kochen 66,,
,,R_EG_R.00.01_02_Beschattung_sperren_aktivieren_1B,1,1,67,,,Wohnen|Essen|Kochen 67,,
